Entry,Component_A_SMILES,Component_B_SMILES,Component_C_SMILES,Product_SMILES,Yield_Percent,Is_Synthesizable,Z_ID
864,Cl.Nc1cc(ccn1)c2ncon2,COc1cc(C=O)cc2OCOc21,[C-]#[N+]C1CCOCC1,"COC1=C2OCOC2=CC(=C1)C1=C(NC2CCOCC2)N2C=CC(=CC2=N1)C1=NOC=N1 |c:2,8,10,13,24,26,29,35,t:32|",23.2,TRUE,Z8878918875
1786,Nc1cc(Cl)cc(Cl)n1,Cn1cc(C=O)c(Cl)n1,COC(=O)CCC([N+]#[C-])C(=O)OC,"COC(=O)CCC(NC1=C(N=C2C=C(Cl)C=C(Cl)N12)C1=CN(C)N=C1Cl)C(=O)OC |c:25,t:8,10,12,15,21|",23.2,TRUE,Z8873684883
236,Nc1cccc(C#N)n1,Cc1ccc(C=O)cc1,[C-]#[N+]CC1CCOCC1,"CC1=CC=C(C=C1)C1=C(NCC2CCOCC2)N2C(C=CC=C2C#N)=N1 |c:3,5,8,21,23,27,t:1|",23.3,TRUE,Z8776690319
782,Nc1cnccn1,COc1cnn(C)c1C=O,C[N+]#[C-],"CNC1=C(N=C2C=NC=CN12)C1=C(OC)C=NN1C |c:6,8,13,17,t:2,4|",23.3,TRUE,Z8855619682
1695,Nc1ccccn1,CC(C)(C)OC(=O)NC1CC(C1)C=O,C[N+]#[C-],"CNC1=C(N=C2C=CC=CN12)C1CC(C1)NC(=O)OC(C)(C)C |c:6,8,t:2,4|",23.3,TRUE,Z8878918515
1771,CP(=O)(C)c1cccc(N)n1,Fc1cc(C=O)ccc1C(F)(F)F,CC(C)(C)[N+]#[C-],"CC(C)(C)NC1=C(N=C2C=CC=C(N12)P(C)(C)=O)C1=CC(F)=C(C=C1)C(F)(F)F |c:9,11,23,25,t:5,7,20|",23.3,TRUE,Z8878918803
1773,NC(=O)c1ccc(N)nc1,COC(=O)c1c(F)cc(C=O)cc1F,[C-]#[N+]C1CCOCC1,"COC(=O)C1=C(F)C=C(C=C1F)C1=C(NC2CCOCC2)N2C=C(C=CC2=N1)C(N)=O |c:4,7,9,13,24,26,29|",23.3,TRUE,Z8873684767
1758,Nc1ccc2CCC(O)c2n1,COc1nc(Cl)c(C=O)n1C,CCOCC[N+]#[C-],"CCOCCNC1=C(N=C2C=CC3=C(C(O)CC3)N12)C1=C(Cl)N=C(OC)N1C |c:10,22,t:6,8,12,25|",23.4,TRUE,Z8873685475
1767,COCCN(C)c1ccc(N)nc1,FC1(F)CCC2C(C=O)C21,[C-]#[N+]CC1CCCO1,"COCCN(C)C1=CN2C(C=C1)=NC(C1C3CCC(F)(F)C13)=C2NCC1CCCO1 |c:10,12,24,t:6|",23.4,TRUE,Z8829498615
203,Cc1cnc(N)cn1,COc1cc(C=O)sn1,C[N+]#[C-],"CNC1=C(N=C2C=NC(C)=CN12)C1=CC(OC)=NS1 |c:6,9,18,t:2,4,14|",23.5,TRUE,Z8798985021
257,Cc1nc(N)ccc1S(=O)(=O)C,O=CCCc1ccccc1,[C-]#[N+]C1CCOCC1,"CC1=C(C=CC2=NC(CCC3=CC=CC=C3)=C(NC3CCOCC3)N12)S(C)(=O)=O |c:3,12,14,t:1,5,10,16|",23.5,TRUE,Z8776690329
1725,Cc1cncc(N)n1,CC(C)(CC=O)C#N,COc1ccc(C[N+]#[C-])cc1,"COC1=CC=C(CNC2=C(CC(C)(C)C#N)N=C3C=NC=C(C)N23)C=C1 |c:8,18,26,t:2,4,16,20|",23.5,TRUE,Z8873684695
231,Nc1cc(ccn1)n2ccnc2,COc1cc(C=O)n(C)n1,CC[N+]#[C-],"CCNC1=C(N=C2C=C(C=CN12)N1C=CN=C1)C1=CC(OC)=NN1C |c:7,9,15,17,24,t:3,5,20|",23.7,TRUE,Z8808559875
856,Nc1cc(CSCCO)ccn1,Fc1ccc(C=O)c2ncccc12,[C-]#[N+]C1COC1,"OCCSCC1=CC2=NC(=C(NC3COC3)N2C=C1)C1=C2N=CC=CC2=C(F)C=C1 |c:19,22,24,26,32,t:5,7,9,29|",23.7,TRUE,Z8873685480
1734,Nc1cnc(Br)cn1,Cc1ocnc1C=O,[C-]#[N+]C1CCOC1,"CC1=C(N=CO1)C1=C(NC2CCOC2)N2C=C(Br)N=CC2=N1 |c:3,7,20,23,t:1,17|",23.7,TRUE,Z8878918814
821,Nc1nccnc1N2CCCC2,Cl.Cc1c[nH]nc1C=O,COCC[N+]#[C-],"COCCNC1=C(N=C2N1C=CN=C2N1CCCC1)C1=NNC=C1C |c:7,11,13,25,t:5,22|",23.8,TRUE,Z8878918326
1754,Nc1cnc(Cl)cn1,O=CCCC1OCCO1,COC(=O)c1cccc([N+]#[C-])c1,"COC(=O)C1=CC(NC2=C(CCC3OCCO3)N=C3C=NC(Cl)=CN23)=CC=C1 |c:8,20,23,27,29,t:4,18|",23.8,TRUE,Z8878918661
1781,Cc1cc(N)ncc1Cl,FC(F)c1cccc(C=O)n1,COC(=O)CCC([N+]#[C-])C(=O)OC,"COC(=O)CCC(NC1=C(N=C2C=C(C)C(Cl)=CN12)C1=NC(=CC=C1)C(F)F)C(=O)OC |c:16,23,25,t:8,10,12,21|",23.8,TRUE,Z8873684939
206,COc1ccc(N)nn1,COc1ccc(C=O)cc1,C[N+]#[C-],"CNC1=C(N=C2C=CC(OC)=NN12)C1=CC=C(OC)C=C1 |c:6,10,21,t:2,4,15,17|",23.9,TRUE,Z8776690310
1738,Cl.CC(C)Oc1cccnc1N,Cn1nc(C=O)c2COCCc21,CCC[N+]#[C-],"CCCNC1=C(N=C2N1C=CC=C2OC(C)C)C1=NN(C)C2=C1COCC2 |c:6,10,12,23,t:4,19|",23.9,TRUE,Z8855739088
1768,COC(=O)c1ccc(N)nc1Cl,CN(CCO)c1ccc(C=O)cc1,[C-]#[N+]C1COC1,"COC(=O)C1=C(Cl)N2C(C=C1)=NC(=C2NC1COC1)C1=CC=C(C=C1)N(C)CCO |c:4,9,11,13,24,26,t:22|",23.9,TRUE,Z8837933165
830,Cl.Cc1nc2ccc(N)nc2[nH]1,O=Cc1nnc(s1)C2CC2,CCC(C)[N+]#[C-],"CCC(C)NC1=C(N=C2C=CC3=C(NC(C)=N3)N12)C1=NN=C(S1)C1CC1 |c:9,15,23,t:5,7,11,21|",24.1,TRUE,Z8878918394
828,CCc1ccc(N)nc1Cl,CCn1cnnc1C=O,CSCC[N+]#[C-],"CCN1C=NN=C1C1=C(NCCSC)N2C(C=CC(CC)=C2Cl)=N1 |c:3,5,8,17,21,24|",24.2,TRUE,Z8878918633
871,CN(C)S(=O)(=O)c1ccc(N)nc1,OCCOc1ccc(C=O)cn1,COc1ccccc1[N+]#[C-],"COC1=C(NC2=C(N=C3C=CC(=CN23)S(=O)(=O)N(C)C)C2=CN=C(OCCO)C=C2)C=CC=C1 |c:2,9,11,30,33,35,t:5,7,22,24|",24.3,TRUE,Z8878918769
1764,Cc1ccc(N)nc1,O=Cc1cnc(nc1)C2CCOCC2,COc1ccc(C[N+]#[C-])cc1,"COC1=CC=C(CNC2=C(N=C3C=CC(C)=CN23)C2=CN=C(N=C2)C2CCOCC2)C=C1 |c:12,15,22,24,34,t:2,4,8,10,20|",24.3,TRUE,Z8873685250
863,Nc1nccc2nccnc12,CC(C)(O)C#Cc1ccc(C=O)cc1,CCOC(=O)CCC[N+]#[C-],"CCOC(=O)CCCNC1=C(N=C2N1C=CC1=C2N=CC=N1)C1=CC=C(C=C1)C#CC(C)(C)O |c:11,15,17,20,22,27,29,t:9,25|",24.4,TRUE,Z8873684692
855,CP(=O)(C)c1ccc(N)nc1,O=Cc1ccc2COCc2c1,COC(=O)C1CC(C1)[N+]#[C-],"COC(=O)C1CC(C1)NC1=C(N=C2C=CC(=CN12)P(C)(C)=O)C1=CC2=C(COC2)C=C1 |c:14,16,33,t:10,12,25,27|",24.6,TRUE,Z8846492124
822,Cc1cc(C#N)cc(N)n1,O=CC1CC21CCOC2,CSCCC[N+]#[C-],"CSCCCNC1=C(N=C2C=C(C=C(C)N12)C#N)C1CC11CCOC1 |c:10,t:6,8,12|",24.8,TRUE,Z8855739119
1739,Nc1cccnn1,Cc1n[nH]cc1C=O,Brc1cccc(C[N+]#[C-])c1,"CC1=NNC=C1C1=C(NCC2=CC(Br)=CC=C2)N2N=CC=CC2=N1 |c:4,7,14,16,20,22,25,t:1,11|",24.8,TRUE,Z8873685264
1766,Cn1cc(cn1)c2ccc(N)nn2,COc1noc(C)c1C=O,Fc1cccc(CC[N+]#[C-])c1,"COC1=NOC(C)=C1C1=C(NCCC2=CC(F)=CC=C2)N2N=C(C=CC2=N1)C1=CN(C)N=C1 |c:6,9,17,19,23,25,28,35,t:2,14,31|",24.9,TRUE,Z8873685432
228,Nc1cncc(C#N)n1,Cc1ccc(C=O)cc1,[C-]#[N+]CC1CCOCC1,"CC1=CC=C(C=C1)C1=C(NCC2CCOCC2)N2C(C=NC=C2C#N)=N1 |c:3,5,8,21,23,27,t:1|",25,TRUE,Z8776690324
252,Cl.Nc1cc(ccn1)S(=O)(=O)N,Cc1noc(C)c1C=O,CCOC(=O)CCC[N+]#[C-],"CCOC(=O)CCCNC1=C(N=C2C=C(C=CN12)S(N)(=O)=O)C1=C(C)ON=C1C |c:13,15,24,28,t:9,11|",25,TRUE,Z8803896968
1753,Nc1ncccc1OCC(F)F,CP(=O)(C)c1ccc(C=O)cc1,CC(=C)C[N+]#[C-],"CC(=C)CNC1=C(N=C2N1C=CC=C2OCC(F)F)C1=CC=C(C=C1)P(C)(C)=O |c:7,11,13,23,25,t:5,21|",25,TRUE,Z8873684633
251,COC(=O)c1cc(N)ncc1C,O=Cc1cncnc1,[C-]#[N+]CCOCc1ccccc1,"COC(=O)C1=CC2=NC(=C(NCCOCC3=CC=CC=C3)N2C=C1C)C1=CN=CN=C1 |c:17,19,24,30,32,t:4,6,8,15,28|",25.1,TRUE,Z8803896942
843,Nc1nccc2nccnc12,Fc1ccccc1n2cc(C=O)cn2,COCC[N+]#[C-],"COCCNC1=C(N=C2N1C=CC1=C2N=CC=N1)C1=CN(N=C1)C1=C(F)C=CC=C1 |c:7,11,13,16,18,24,27,30,32,t:5,21|",25.1,TRUE,Z8878918573
1740,CC(C)Oc1ccc(N)nn1,COc1cc(C=O)cc2nc[nH]c12,[C-]#[N+]C1COC1,"COC1=C2NC=NC2=CC(=C1)C1=C(NC2COC2)N2N=C(OC(C)C)C=CC2=N1 |c:2,5,8,10,13,28,31,t:22|",25.1,TRUE,Z8854581138
240,Nc1nccc2ncccc12,Cc1cc(C=O)nn1C,[C-]#[N+]CC1CCOCC1,"CN1N=C(C=C1C)C1=C(NCC2CCOCC2)N2C=CC3=C(C=CC=N3)C2=N1 |c:2,4,8,20,24,26,30,t:22|",25.2,TRUE,Z8778277872
270,COC(=O)c1cncc(N)n1,COC(=O)[C@H]1C[C@@H](C1)n2ccc(C=O)n2,Fc1cccc(CC[N+]#[C-])c1,"COC(=O)[C@H]1C[C@@H](C1)N1C=CC(=N1)C1=C(NCCC2=CC(F)=CC=C2)N2C(C=NC=C2C(=O)OC)=N1 |r,c:10,12,15,23,25,30,32,38,t:20|",25.2,TRUE,Z8810902960
1644,COc1ccc(C)nc1N,O=CC1CCOCC1,CCC[N+]#[C-],"CCCNC1=C(N=C2N1C(C)=CC=C2OC)C1CCOCC1 |c:6,11,13,t:4|",25.2,TRUE,Z8849597822
